"id","game_code","status","game_id"
160,poiuy78EDC012BCD,Available,7
161,mnbvc90RFV345EFG,Available,7
162,lkjhg23TGB678HIJ,Available,7
163,zxcvb45HJK901KLO,Available,7
164,asdfg67LKM234QRS,Available,7
165,qwert78NHY567TUV,Available,7
166,poiuy89BGT890WXY,Available,7
167,mnbvc01CVB012ZAB,Available,7
183,mnbvc45PLMa5g67EFG,Available,8
184,lkjhg67NBV89e0HIJ,Available,8
185,zxcvb89MNB012dKLO,Available,8
186,asdfg01ASD345QsRS,Available,8
187,qwert23QWE678TUddV,Available,8
188,poiuy56ZXC901WXdY,Available,8
189,mnbvc78EDC234ZAsB,Available,8
190,lkjhgs90RFV567BCD,Available,8
191,zxcvb3s4TGB890EFG,Available,8
192,asdfg67sHJK012HIJ,Available,8
193,qwert89LsKM345KLO,Available,8
194,poiuy12NHsY678QRS,Available,8
217,mnbvc5PLMaa5g67EFG,Available,9
218,lkjh67NBaV89e0HIJ,Available,9
219,zxc89MNaB012dKLO,Available,9
220,asfg01aASD345QsRS,Available,9
221,qert2a3QWE678TUddV,Available,9
222,poiuay56ZXC91WXdY,Available,9
223,mnbavc78EDC34ZAsB,Available,9
224,lkajhgs90RV567BCD,Available,9
225,zaxcvb3s4GB890EFG,Available,9
226,asdfg67HJK012aHIJ,Available,9
227,qwert8LsKM34a5KLO,Available,9
228,poiuy2NHsY6a78QRS,Available,9
235,mnbvc5PLMaa567EFG,Available,10
236,lkjh67NBaV8e0HIJ,Available,10
237,zxc89MNaB02dKLO,Available,10
238,asfg01aAS345QsRS,Available,10
239,qert2a3QE678TUddV,Available,10
240,poiuay5ZXC91WXdY,Available,10
241,mnbavc8EDC34ZAsB,Available,10
242,lkajhs90RV567BCD,Available,10
243,zaxcb3s4GB890EFG,Available,10
244,asdg67HJK012aHIJ,Available,10
245,qwrt8LsKM34a5KLO,Available,10
246,poiy2NHsY6a78QRS,Available,10
123,asdfas234Dfs132,Used,5
124,qwer12ASD345FGH,Used,5
125,zxcv56QWE789JKL,Used,5
126,poiuy89ZXC123MNO,Used,5
127,lkjh45QAZ678PQR,Used,5
128,mnbv23WSX901STU,Used,5
129,ytrew10EDC234VWX,Used,5
130,zxcvb45RFV678YZA,Used,5
131,asdfg78TGB901BCD,Used,5
132,qwerty90HJK123EFG,Used,5
152,asdfg23YUI890BCD,Used,7
181,qwert78YUfsI901ZAB,Used,8
215,qwert78UfsIa901ZAB,Used,9
233,qwert78UfsIa90ZAB,Used,10
133,poiuy34LKM567HIJ,Used,5
153,qwert45OKI012EFG,Used,7
182,poiuy23OKfI234BCD,Used,8
216,poiuy2OKfIa234BCD,Used,9
234,poiuy2OKfIa23BCD,Used,10
252,poiuvy2OKfIa23BCD,Used,11
253,mnbvcv5PLMaa567EFG,Used,11
134,asdfg56GTR678WXY,Used,6
